Row,Faculty,AcademicCareer,CourseCode,CourseName,CourseID,OfferingSeq,Year,T,TermSeq,TermCode,SortKey,IsRedacted,FL,UF,AF,NF,PS,CR,DN,HD,AW,PW,CN,CO,CM,SY,EF,EC,EM,AS,PE,NC,FailSum,WithdrawSum,NonstdSum,OtherSum,Fail_norm,PS_norm,CR_norm,DN_norm,HD_norm,IsNonStandardGrading,Note,Index
15494,"Faculty of Arts, Design and Architecture",U,MUSC4015,Music Honours Thesis,064888,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15495,"Faculty of Arts, Design and Architecture",U,MUSC4016,Music Honours Thesis,064889,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15496,"Faculty of Arts, Design and Architecture",U,MUSC4017,Music Honours Thesis,064884,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15497,"Faculty of Arts, Design and Architecture",U,MUSC4104,Music History & Culture 2,064952,1,2021,Term 3,5,21T3,20215,False,4.55,,,,9.09,36.36,36.36,13.64,,,,,,,,,,,,,4.55,,,,4.55,9.09,36.36,36.36,13.64,False,,36.36
15498,"Faculty of Arts, Design and Architecture",U,MUSC4705,Performance Lab D (MCP),065842,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15499,Faculty of Science,U,NANO4012,Nanoscience Project,065648,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15500,Faculty of Medicine,U,NEUR3221,Neurophysiology,060320,1,2021,Term 3,5,21T3,20215,False,8.16,,,,30.61,20.41,30.61,10.2,,,,,,,,,,,,,8.16,,,,8.16,30.61,20.41,30.61,10.2,False,,22.45
15501,Faculty of Medicine and Health,U,NEUR4441,Neurosci Res,064241,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15502,Faculty of Medicine and Health,U,NEUR4442,Neurosci Res,064242,1,2021,Term 3,5,21T3,20215,False,,,,,,,23.08,76.92,,,,,,,,,,,,,,,,,0.0,0.0,0.0,23.08,76.92,False,,88.46
15503,Faculty of Medicine and Health,U,OPTM2133,The Clinical Environment,065098,1,2021,Term 3,5,21T3,20215,False,1.87,4.67,,,6.54,25.23,44.86,15.89,,,,,,,,,,,,0.93,6.54,,,0.93,6.54,6.54,25.23,44.86,15.89,False,,38.09
